event_id,mech_number,strike,dip,rake,norm_N,norm_E,norm_Z,norm_aux_N,norm_aux_E,norm_aux_Z
2148509,0,299.5,50.0,120.0,-0.667,-0.3767,0.6428,0.7306,-0.1616,0.6634
2148509,1,150.0,30.0,125.0,0.25,0.433,0.866,-0.8514,-0.3276,0.4096
2148509,2,254.3,40.0,100.0,-0.619,0.1734,0.766,0.6796,-0.3707,0.633
2148509,3,259.4,45.0,95.0,-0.6951,0.1299,0.7071,0.6764,-0.2151,0.7044
2148509,4,293.2,60.0,100.0,-0.7958,-0.3415,0.5,0.521,0.0346,0.8529
2148509,5,142.4,50.0,130.0,0.4678,0.6066,0.6428,-0.8097,0.0026,0.5868
2148509,6,292.9,50.0,115.0,-0.7056,-0.2982,0.6428,0.7011,-0.1625,0.6943
2148509,7,277.8,40.0,100.0,-0.6368,-0.0875,0.766,0.771,-0.0693,0.633
2148509,8,140.0,30.0,120.0,0.3214,0.383,0.866,-0.8651,-0.2531,0.433
2148509,9,287.6,45.0,95.0,-0.6738,-0.2144,0.7071,0.6977,0.1305,0.7044
2148509,10,144.9,55.0,130.0,0.4708,0.6703,0.5736,-0.7785,0.0099,0.6275
2148509,11,306.0,50.0,95.0,-0.6197,-0.4503,0.6428,0.5693,0.3059,0.7631
2148509,12,116.2,50.0,115.0,0.6874,0.338,0.6428,-0.7093,0.1222,0.6943
2148509,13,273.3,50.0,110.0,-0.7648,-0.0437,0.6428,0.6226,-0.307,0.7198
2148509,14,125.1,35.0,110.0,0.4691,0.33,0.8192,-0.8264,-0.1631,0.539
2148509,15,281.6,60.0,95.0,-0.8483,-0.1743,0.5,0.5054,0.0149,0.8627
2148509,16,294.7,45.0,100.0,-0.6424,-0.2955,0.7071,0.7052,0.1333,0.6964
2148509,17,109.6,50.0,105.0,0.7215,0.2574,0.6428,-0.6718,0.0351,0.7399
2148509,18,110.0,30.0,100.0,0.4698,0.171,0.866,-0.8608,-0.1285,0.4924
2148509,19,286.4,50.0,110.0,-0.735,-0.2158,0.6428,0.6759,-0.158,0.7198
2148509,20,259.4,45.0,100.0,-0.6951,0.1299,0.7071,0.6526,-0.2986,0.6964
2148509,21,266.5,45.0,105.0,-0.7058,0.0435,0.7071,0.6658,-0.3004,0.683
2148509,22,138.0,25.0,120.0,0.2828,0.3141,0.9063,-0.8968,-0.2487,0.366
2148509,23,299.5,50.0,100.0,-0.667,-0.3767,0.6428,0.6366,0.1601,0.7544
2148509,24,266.5,45.0,100.0,-0.7058,0.0435,0.7071,0.6844,-0.2162,0.6964
2148509,25,283.8,65.0,95.0,-0.88,-0.2169,0.4226,0.4296,0.0161,0.9029
