sta_code,source,avg_sp_diff,std_sp_diff,count
XX.ST045.--.EHZ,trad_sp,-0.451,-999.0,1
XX.ST081.--.EHZ,trad_sp,-0.451,-999.0,1
XX.ST046.--.EHZ,trad_sp,-0.3991,-999.0,1
XX.ST100.--.EHZ,trad_sp,-0.3991,-999.0,1
XX.ST033.--.EHZ,trad_sp,-0.3981,-999.0,1
XX.ST069.--.EHZ,trad_sp,-0.3981,-999.0,1
XX.ST082.--.EHZ,trad_sp,-0.3756,-999.0,1
XX.ST044.--.EHZ,trad_sp,-0.3756,-999.0,1
XX.ST048.--.EHZ,trad_sp,-0.3552,-999.0,1
XX.ST098.--.EHZ,trad_sp,-0.3552,-999.0,1
XX.ST047.--.EHZ,trad_sp,-0.3541,-999.0,1
XX.ST099.--.EHZ,trad_sp,-0.3541,-999.0,1
XX.ST049.--.EHZ,trad_sp,-0.3532,-999.0,1
XX.ST097.--.EHZ,trad_sp,-0.3532,-999.0,1
XX.ST050.--.EHZ,trad_sp,-0.3269,-999.0,1
XX.ST096.--.EHZ,trad_sp,-0.3269,-999.0,1
XX.ST032.--.EHZ,trad_sp,-0.268,-999.0,1
XX.ST068.--.EHZ,trad_sp,-0.268,-999.0,1
XX.ST051.--.EHZ,trad_sp,-0.2624,-999.0,1
XX.ST095.--.EHZ,trad_sp,-0.2624,-999.0,1
XX.ST083.--.EHZ,trad_sp,-0.2164,-999.0,1
XX.ST043.--.EHZ,trad_sp,-0.2164,-999.0,1
XX.ST052.--.EHZ,trad_sp,-0.1886,-999.0,1
XX.ST094.--.EHZ,trad_sp,-0.1886,-999.0,1
XX.ST055.--.EHZ,trad_sp,-0.1726,-999.0,1
XX.ST101.--.EHZ,trad_sp,-0.1726,-999.0,1
XX.ST031.--.EHZ,trad_sp,-0.1526,-999.0,1
XX.ST067.--.EHZ,trad_sp,-0.1526,-999.0,1
XX.ST065.--.EHZ,trad_sp,-0.1415,-999.0,1
XX.ST080.--.EHZ,trad_sp,-0.1415,-999.0,1
XX.ST053.--.EHZ,trad_sp,-0.135,-999.0,1
XX.ST093.--.EHZ,trad_sp,-0.135,-999.0,1
XX.ST054.--.EHZ,trad_sp,-0.1079,-999.0,1
XX.ST092.--.EHZ,trad_sp,-0.1079,-999.0,1
XX.ST084.--.EHZ,trad_sp,-0.1071,-999.0,1
XX.ST042.--.EHZ,trad_sp,-0.1071,-999.0,1
XX.ST091.--.EHZ,trad_sp,-0.087,-999.0,1
XX.ST035.--.EHZ,trad_sp,-0.087,-999.0,1
XX.ST021.--.EHZ,trad_sp,-0.0855,-999.0,1
XX.ST008.--.EHZ,trad_sp,-0.0855,-999.0,1
XX.ST070.--.EHZ,trad_sp,-0.0827,-999.0,1
XX.ST034.--.EHZ,trad_sp,-0.0827,-999.0,1
XX.ST064.--.EHZ,trad_sp,-0.0774,-999.0,1
XX.ST079.--.EHZ,trad_sp,-0.0774,-999.0,1
XX.ST020.--.EHZ,trad_sp,-0.077,-999.0,1
XX.ST009.--.EHZ,trad_sp,-0.077,-999.0,1
XX.ST022.--.EHZ,trad_sp,-0.0717,-999.0,1
XX.ST007.--.EHZ,trad_sp,-0.0717,-999.0,1
XX.ST036.--.EHZ,trad_sp,-0.0706,-999.0,1
XX.ST090.--.EHZ,trad_sp,-0.0706,-999.0,1
XX.ST085.--.EHZ,trad_sp,-0.0694,-999.0,1
XX.ST041.--.EHZ,trad_sp,-0.0694,-999.0,1
XX.ST019.--.EHZ,trad_sp,-0.0691,-999.0,1
XX.ST010.--.EHZ,trad_sp,-0.0691,-999.0,1
XX.ST018.--.EHZ,trad_sp,-0.0592,-999.0,1
XX.ST011.--.EHZ,trad_sp,-0.0592,-999.0,1
XX.ST089.--.EHZ,trad_sp,-0.059,-999.0,1
XX.ST037.--.EHZ,trad_sp,-0.059,-999.0,1
XX.ST066.--.EHZ,trad_sp,-0.0589,-999.0,1
XX.ST030.--.EHZ,trad_sp,-0.0589,-999.0,1
XX.ST017.--.EHZ,trad_sp,-0.0549,-999.0,1
XX.ST012.--.EHZ,trad_sp,-0.0549,-999.0,1
XX.ST016.--.EHZ,trad_sp,-0.0536,-999.0,1
XX.ST013.--.EHZ,trad_sp,-0.0536,-999.0,1
XX.ST015.--.EHZ,trad_sp,-0.0522,-999.0,1
XX.ST014.--.EHZ,trad_sp,-0.0522,-999.0,1
XX.ST006.--.EHZ,trad_sp,-0.0511,-999.0,1
XX.ST023.--.EHZ,trad_sp,-0.0511,-999.0,1
XX.ST038.--.EHZ,trad_sp,-0.0483,-999.0,1
XX.ST088.--.EHZ,trad_sp,-0.0483,-999.0,1
XX.ST086.--.EHZ,trad_sp,-0.0444,-999.0,1
XX.ST040.--.EHZ,trad_sp,-0.0444,-999.0,1
XX.ST039.--.EHZ,trad_sp,-0.0442,-999.0,1
XX.ST087.--.EHZ,trad_sp,-0.0442,-999.0,1
XX.ST005.--.EHZ,trad_sp,-0.0141,-999.0,1
XX.ST024.--.EHZ,trad_sp,-0.0141,-999.0,1
XX.ST063.--.EHZ,trad_sp,0.014,-999.0,1
XX.ST078.--.EHZ,trad_sp,0.014,-999.0,1
XX.ST004.--.EHZ,trad_sp,0.0267,-999.0,1
XX.ST025.--.EHZ,trad_sp,0.0267,-999.0,1
XX.ST026.--.EHZ,trad_sp,0.0621,-999.0,1
XX.ST003.--.EHZ,trad_sp,0.0621,-999.0,1
XX.ST062.--.EHZ,trad_sp,0.089,-999.0,1
XX.ST077.--.EHZ,trad_sp,0.089,-999.0,1
XX.ST002.--.EHZ,trad_sp,0.0975,-999.0,1
XX.ST027.--.EHZ,trad_sp,0.0975,-999.0,1
XX.ST001.--.EHZ,trad_sp,0.129,-999.0,1
XX.ST028.--.EHZ,trad_sp,0.129,-999.0,1
XX.ST061.--.EHZ,trad_sp,0.1396,-999.0,1
XX.ST076.--.EHZ,trad_sp,0.1396,-999.0,1
XX.ST060.--.EHZ,trad_sp,0.1672,-999.0,1
XX.ST075.--.EHZ,trad_sp,0.1672,-999.0,1
XX.ST000.--.EHZ,trad_sp,0.182,-999.0,1
XX.ST029.--.EHZ,trad_sp,0.182,-999.0,1
XX.ST074.--.EHZ,trad_sp,0.1864,-999.0,1
XX.ST059.--.EHZ,trad_sp,0.1864,-999.0,1
XX.ST071.--.EHZ,trad_sp,0.1937,-999.0,1
XX.ST056.--.EHZ,trad_sp,0.1937,-999.0,1
XX.ST057.--.EHZ,trad_sp,0.1968,-999.0,1
XX.ST072.--.EHZ,trad_sp,0.1968,-999.0,1
XX.ST073.--.EHZ,trad_sp,0.197,-999.0,1
XX.ST058.--.EHZ,trad_sp,0.197,-999.0,1
