event_id,strike,dip,rake,quality,fault_plane_uncertainty,aux_plane_uncertainty,num_p_pol,num_sp_ratios,azimuthal_gap,takeoff_gap,polarity_misfit,prob_mech,sta_distribution_ratio,sp_misfit,mult_solution_flag,time,magnitude,origin_lat,origin_lon,origin_depth_km,horz_uncert_km,vert_uncert_km
2148509,122.5,47.7,100.2,A,15.7,19.2,61,0,27.4,15.7,12.9,99.2,66.2,0.0,False,1994-02-15 01:59:47,2.48,34.232,-118.615,20.6,0,0
2155068,149.4,50.8,127.9,A,21.3,21.8,33,0,82.3,18.1,0.0,97.0,72.0,0.0,False,1994-03-22 13:07:33,2.3,34.224,-118.603,19.91,0,0
3143312,137.5,56.8,146.6,A,14.0,17.3,30,0,76.7,17.8,6.1,99.8,66.5,0.0,False,1994-01-21 11:04:15,2.3,34.241,-118.601,21.32,0,0
3145744,138.4,52.8,102.0,A,20.7,27.1,32,0,86.4,14.7,3.0,85.2,69.7,0.0,False,1994-01-25 10:05:21,2.35,34.226,-118.605,19.95,0,0
3146815,146.0,52.6,133.9,A,13.1,13.8,76,0,41.5,9.4,10.2,100.0,57.1,0.0,False,1994-01-28 07:44:46,3.43,34.233,-118.615,20.88,0,0
3146907,302.4,40.3,101.8,B,26.6,24.3,23,0,66.4,17.5,3.5,86.8,70.6,0.0,False,1994-01-28 15:47:20,2.05,34.222,-118.602,21.21,0,0
3147167,289.0,40.8,66.2,A,17.2,12.5,55,0,37.5,14.0,4.4,100.0,64.5,0.0,False,1994-01-29 07:52:21,2.6,34.234,-118.617,20.9,0,0
3148018,152.1,48.0,114.1,A,17.1,23.6,46,0,41.4,14.2,11.9,94.4,70.6,0.0,False,1994-01-31 04:53:39,2.13,34.231,-118.606,18.94,0,0
3148047,299.6,42.4,72.3,A,20.2,15.4,38,0,63.9,16.1,5.0,96.8,68.3,0.0,False,1994-01-31 07:13:16,2.19,34.228,-118.609,21.11,0,0
3149674,300.2,43.9,78.0,A,20.2,13.2,49,0,49.3,12.5,10.2,99.3,67.8,0.0,False,1994-02-05 07:11:45,2.44,34.235,-118.607,19.7,0,0
3150301,110.3,43.4,83.5,A,16.3,21.9,32,0,68.2,20.0,14.5,97.8,68.4,0.0,False,1994-02-07 05:23:49,1.76,34.218,-118.605,19.87,0,0
3150490,308.0,44.3,111.9,A,18.4,15.0,58,0,51.2,17.2,6.0,100.0,66.3,0.0,False,1994-02-08 02:07:08,2.61,34.231,-118.598,18.75,0,0
3150936,271.7,49.0,52.8,A,20.3,16.5,57,0,43.0,14.4,8.7,95.5,67.6,0.0,False,1994-02-10 04:19:26,2.5,34.237,-118.62,20.44,0,0
3150947,144.0,46.9,133.1,A,12.0,11.6,48,0,64.6,15.1,8.5,100.0,67.0,0.0,False,1994-02-10 04:46:40,2.27,34.226,-118.61,19.78,0,0
3151649,124.6,45.1,101.6,A,18.4,24.2,32,0,65.3,16.7,3.7,94.4,72.3,0.0,False,1994-02-13 09:04:56,2.07,34.223,-118.613,20.59,0,0
3152142,285.7,47.6,73.6,A,18.7,16.2,47,0,44.0,13.7,4.2,100.0,69.3,0.0,False,1994-02-14 13:19:47,2.33,34.227,-118.608,19.86,0,0
3152388,146.4,49.0,123.7,B,25.1,27.3,32,0,54.7,17.6,4.5,81.6,73.2,0.0,False,1994-02-15 04:10:52,1.96,34.227,-118.608,19.63,0,0
3152559,144.8,44.8,119.3,A,17.4,21.6,41,0,35.1,17.4,4.1,96.6,67.7,0.0,False,1994-02-15 21:13:53,2.32,34.227,-118.611,20.07,0,0
3153955,312.7,38.2,115.3,A,23.9,21.7,31,0,67.0,19.0,5.9,94.8,76.4,0.0,False,1994-02-20 19:35:21,1.89,34.222,-118.6,19.51,0,0
3158361,277.4,52.7,62.9,A,17.6,17.1,47,0,43.0,15.7,3.2,100.0,67.6,0.0,False,1994-03-14 10:02:19,2.18,34.233,-118.613,20.09,0,0
3159027,282.9,44.1,75.2,A,23.6,19.5,39,0,84.8,17.7,1.7,94.2,71.9,0.0,False,1994-03-18 08:27:27,2.21,34.226,-118.608,19.86,0,0
3159267,134.6,51.6,113.1,A,18.4,17.9,43,0,53.7,15.5,2.6,98.8,66.3,0.0,False,1994-03-20 00:11:12,2.45,34.235,-118.608,19.22,0,0
3160206,144.0,47.6,123.4,A,19.4,20.8,29,0,74.2,18.2,5.3,97.8,72.1,0.0,False,1994-03-24 11:23:51,1.74,34.224,-118.607,19.99,0,0
3177685,132.9,42.4,119.0,A,13.3,12.2,49,0,50.3,16.4,4.1,100.0,61.3,0.0,False,1994-07-26 02:58:20,2.63,34.232,-118.604,18.82,0,0
