network,station,channel,latitude,longitude,elevation
NP,1575,HNZ,36.85112,-121.40334,89.0
NP,1684,HNZ,37.51485,-121.83119,128.0
NP,1688,HNE,37.59669,-121.88094,91.0
NP,1688,HNZ,37.59669,-121.88094,91.0
NP,1689,HNZ,37.70895,-121.93329,106.0
NP,1690,HNZ,37.80945,-121.99289,120.0
NP,1691,HNZ,37.92657,-122.07853,37.0
NP,1695,HNZ,37.40161,-122.02483,8.0
NP,1722,HNZ,37.97862,-122.36597,4.0
NP,1739,HNZ,37.59997,-122.0066,71.0
NP,1743,HNZ,38.26666,-122.65759,9.0
NP,1750,HNZ,37.55307,-122.09093,6.0
NP,1752,HNZ,37.46782,-122.30787,120.0
NP,1753,HNZ,37.55957,-122.24851,2.0
NP,1754,HNZ,37.67191,-122.08119,36.0
NP,1756,HNZ,37.73774,-122.2526,3.0
NP,1759,HNZ,38.10767,-122.25623,19.0
NP,1760,HNZ,38.05415,-122.15743,17.0
NP,1762,HNZ,38.09755,-122.56564,4.0
NP,1765,HNZ,38.33046,-122.31845,23.0
NP,1768,HNZ,38.233635,-122.636711,-16.0
NP,1771,HNZ,37.777367,-122.396889,-11.0
NP,1772,HNZ,37.750942,-122.490715,55.0
NP,1775,HNE,37.407013,-122.094604,9.0
NP,1775,HNZ,37.407013,-122.094604,9.0
NP,1776,HNZ,37.474827,-122.239235,3.0
NP,1778,HNZ,37.302494,-121.979782,31.0
NP,1781,HNZ,37.301434,-121.9039,13.0
NP,1782,HNZ,37.318157,-121.943535,17.0
NP,1783,HNZ,37.306599,-121.849152,8.0
NP,1786,HNZ,37.680305,-121.739571,141.0
NP,1788,HNZ,37.417019,-121.915405,20.0
NP,1790,HNZ,37.590942,-122.367409,-24.0
NP,1791,HNZ,37.36495,-122.0389,42.0
NP,1795,HNZ,37.746639,-122.386787,1.0
NP,1796,HNE,37.394146,-122.06041,11.0
NP,1796,HNZ,37.394146,-122.06041,11.0
NP,1797,HNZ,36.8905,-121.4037,69.0
NP,1799,HNZ,37.271133,-121.986237,52.0
NP,1804,HNZ,37.679253,-122.484047,111.0
NP,1806,HNZ,37.910328,-122.536819,3.0
NP,1813,HNZ,38.034332,-122.270164,-16.0
NP,1816,HNZ,37.744835,-122.401337,4.0
NP,1817,HNZ,37.779335,-122.486,50.0
NP,1821,HNZ,37.798599,-122.268402,11.0
NP,1822,HNZ,37.8965,-122.322,4.0
NP,1824,HNZ,37.724163,-122.44841,87.0
NP,1825,HNZ,37.413952,-121.87085,33.0
NP,1828,HNZ,37.858345,-122.252518,68.0
NP,1829,HNZ,38.290272,-122.46125,-3.0
NP,1830,HNZ,37.374176,-122.078102,47.0
NP,1835,HNZ,38.442097,-122.606796,123.0
NP,1836,HNE,37.691692,-122.169823,3.0
NP,1836,HNZ,37.691692,-122.169823,3.0
NP,1837,HNZ,37.232914,-121.771851,59.0
NP,1838,HNZ,37.383316,-121.910881,13.0
NP,1844,HNZ,37.885201,-122.032166,62.0
NP,1846,HNZ,37.942207,-121.93055,127.0
NP,1847,HNZ,38.01297,-122.134171,1.0
NP,1848,HNZ,38.367432,-122.524033,86.0
NP,1854,HNZ,37.75896,-122.19756,4.0
NP,1861,HNZ,37.79207,-122.26376,2.0
NP,1862,HNZ,37.2995,-122.0849,214.0
NP,1865,HNZ,36.88311,-121.3908,74.0
CE,57031,HNE,37.3925,-121.9548,1.0
CE,57031,HNZ,37.3925,-121.9548,1.0
CE,57064,HNN,37.5299,-121.9203,93.0
CE,57064,HNZ,37.5299,-121.9203,93.0
CE,57213,HNE,37.5528,-121.9689,18.0
CE,57213,HNZ,37.5528,-121.9689,18.0
CE,57311,HNZ,37.5513,-121.9725,15.0
CE,57383,HNZ,37.0254,-121.4848,329.0
CE,57384,HNN,37.5088,-121.9612,9.0
CE,57384,HNZ,37.5088,-121.9612,9.0
CE,57392,HNE,37.557,-121.9579,17.0
CE,57392,HNZ,37.557,-121.9579,17.0
CE,57428,HNE,37.5004,-121.9877,4.0
CE,57428,HNZ,37.5004,-121.9877,4.0
CE,57431,HNZ,37.5238,-121.949,19.0
CE,57451,HNE,37.6986,-121.8891,97.0
CE,57451,HNZ,37.6986,-121.8891,97.0
CE,57452,HNZ,37.7008,-121.8931,100.0
CE,57475,HNZ,37.7557,-121.9589,133.0
CE,57522,HNZ,37.5693,-121.9707,20.0
CE,58339,HNZ,37.6971,-122.0802,53.0
CE,58340,HNZ,37.7152,-122.0277,219.0
CE,58346,HNZ,37.6799,-122.1259,11.0
CE,58347,HNZ,37.6747,-122.1078,18.0
CE,58376,HNZ,37.6233,-122.1303,2.0
CE,58393,HNZ,37.6566,-122.0836,22.0
CE,58419,HNE,37.6146,-122.0302,19.0
CE,58419,HNZ,37.6146,-122.0302,19.0
CE,58420,HNE,37.654,-122.0257,308.0
CE,58420,HNZ,37.654,-122.0257,308.0
CE,58427,HNZ,37.643,-122.1189,10.0
CE,58443,HNZ,37.8518,-122.0234,99.0
CE,58447,HNE,37.5251,-122.0999,1.0
CE,58447,HNZ,37.5251,-122.0999,1.0
CE,58487,HNZ,37.6887,-122.1074,18.0
CE,58497,HNE,37.675,-122.03,267.0
CE,58497,HNZ,37.675,-122.03,267.0
CE,58653,HNZ,37.67,-122.09,27.0
CE,58665,HNZ,37.5349,-122.03,6.0
NC,AAS,EHZ,38.430138,-121.109589,31.0
NC,ABJ,EHZ,39.165771,-121.192993,434.0
BG,ACR,DPZ,38.836697,-122.760284,803.0
NC,AFD,HHZ,38.945961,-120.968971,505.0
BG,AL1,DPZ,38.838223,-122.883453,704.0
BG,AL2,DPZ,38.816006,-122.897995,657.0
BG,AL3,DPZ,38.827545,-122.856873,781.0
BG,AL4,DPZ,38.838589,-122.835487,661.0
BG,AL5,DPZ,38.839996,-122.868622,593.0
BG,AL6,DPZ,38.79995,-122.861343,749.0
NC,AOH,EHZ,39.376266,-121.257668,410.0
PG,ARD,EHZ,35.463165,-120.978333,91.0
PB,B054,EHZ,37.860199,-122.199501,405.6
PB,B057,EHZ,38.027302,-122.565498,14.4
PB,B058,EHZ,36.7995,-121.580803,114.2
PB,B065,EHZ,36.743668,-121.474167,643.0
PB,B067,EHZ,36.764999,-121.565498,126.2
PB,B072,EHZ,35.831,-120.345,397.7
